customer_id: CUST00001, customer_name: Metro Wholesale, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: General, account_status: Inactive, contract_start_date: 2020-02-20, annual_revenue_potential: 985117
customer_id: CUST00002, customer_name: National Retail, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-06-02, annual_revenue_potential: 4936566
customer_id: CUST00003, customer_name: XYZ Industries, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-09-04, annual_revenue_potential: 3102814
customer_id: CUST00004, customer_name: American Corp, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-11-29, annual_revenue_potential: 3948027
customer_id: CUST00005, customer_name: American Distribution, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-02-04, annual_revenue_potential: 3682564
customer_id: CUST00006, customer_name: American Industries, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-02-16, annual_revenue_potential: 973274
customer_id: CUST00007, customer_name: Superior Distribution, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-02-05, annual_revenue_potential: 1499297
customer_id: CUST00008, customer_name: American Logistics, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2021-07-23, annual_revenue_potential: 1613275
customer_id: CUST00009, customer_name: XYZ Wholesale, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-03-28, annual_revenue_potential: 4713444
customer_id: CUST00010, customer_name: National Logistics, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-11-19, annual_revenue_potential: 3468505
customer_id: CUST00011, customer_name: First Group, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-06-18, annual_revenue_potential: 4333669
customer_id: CUST00012, customer_name: ABC Distribution, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-07-17, annual_revenue_potential: 2931263
customer_id: CUST00013, customer_name: Pacific Corp, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2021-08-29, annual_revenue_potential: 1426880
