truck_id: TRK00001, unit_number: 3463, make: Peterbilt, model_year: 2016, vin: 1VV205190335317039, acquisition_date: 2017-04-27, acquisition_mileage: 18814, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Omaha
truck_id: TRK00002, unit_number: 6461, make: Kenworth, model_year: 2015, vin: 1NV753749606229960, acquisition_date: 2018-10-04, acquisition_mileage: 26795, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Seattle
truck_id: TRK00003, unit_number: 2335, make: Peterbilt, model_year: 2018, vin: 1NT803101860493229, acquisition_date: 2020-09-17, acquisition_mileage: 11795, fuel_type: Diesel, tank_capacity_gallons: 150, status: Maintenance, home_terminal: Atlanta
truck_id: TRK00004, unit_number: 3317, make: Freightliner, model_year: 2015, vin: 1VV131945381692351, acquisition_date: 2017-06-17, acquisition_mileage: 8875, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Salt Lake City
truck_id: TRK00005, unit_number: 6731, make: Freightliner, model_year: 2016, vin: 1FT822215709701985, acquisition_date: 2021-10-08, acquisition_mileage: 42042, fuel_type: Diesel, tank_capacity_gallons: 250, status: Maintenance, home_terminal: Miami
truck_id: TRK00006, unit_number: 6082, make: Kenworth, model_year: 2017, vin: 1VV963516965177788, acquisition_date: 2018-05-12, acquisition_mileage: 47794, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Minneapolis
truck_id: TRK00007, unit_number: 7421, make: Volvo, model_year: 2019, vin: 1MV134100489809236, acquisition_date: 2020-01-29, acquisition_mileage: 42328, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Charlotte
truck_id: TRK00008, unit_number: 3112, make: Mack, model_year: 2015, vin: 1MV426140684859204, acquisition_date: 2015-01-27, acquisition_mileage: 27548, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Houston
truck_id: TRK00009, unit_number: 2388, make: International, model_year: 2015, vin: 1VU871233565012431, acquisition_date: 2016-11-04, acquisition_mileage: 24540, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Denver
truck_id: TRK00010, unit_number: 6072, make: Volvo, model_year: 2015, vin: 1MU182160377362421, acquisition_date: 2017-12-11, acquisition_mileage: 25066, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Columbus
truck_id: TRK00011, unit_number: 7171, make: Freightliner, model_year: 2015, vin: 1FT567947164925037, acquisition_date: 2021-01-06, acquisition_mileage: 29395, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Portland
truck_id: TRK00012, unit_number: 6381, make: Freightliner, model_year: 2015, vin: 1MU483021764762154, acquisition_date: 2017-02-08, acquisition_mileage: 24739, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Las Vegas
truck_id: TRK00013, unit_number: 3093, make: Volvo, model_year: 2018, vin: 1NU908806171429154, acquisition_date: 2020-10-25, acquisition_mileage: 24618, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Phoenix
truck_id: TRK00014, unit_number: 9624, make: International, model_year: 2015, vin: 1VV247228896414388, acquisition_date: 2019-04-11, acquisition_mileage: 5259, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Nashville
truck_id: TRK00015, unit_number: 2531, make: International, model_year: 2015, vin: 1VV219552826957760, acquisition_date: 2017-02-12, acquisition_mileage: 44743, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Memphis
truck_id: TRK00016, unit_number: 7937, make: Freightliner, model_year: 2015, vin: 1VT237947763097353, acquisition_date: 2015-05-26, acquisition_mileage: 43371, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Nashville
truck_id: TRK00017, unit_number: 9331, make: Mack, model_year: 2017, vin: 1VU258614207044782, acquisition_date: 2017-07-06, acquisition_mileage: 35343, fuel_type: Diesel, tank_capacity_gallons: 200, status: Maintenance, home_terminal: Portland
truck_id: TRK00018, unit_number: 6928, make: International, model_year: 2015, vin: 1FT570778303307847, acquisition_date: 2016-02-16, acquisition_mileage: 8715, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Dallas
truck_id: TRK00019, unit_number: 1298, make: International, model_year: 2015, vin: 1NT468662011712903, acquisition_date: 2021-02-13, acquisition_mileage: 42830, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Omaha
truck_id: TRK00020, unit_number: 6940, make: Kenworth, model_year: 2015, vin: 1VT279404061535276, acquisition_date: 2017-07-25, acquisition_mileage: 22791, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Kansas City
truck_id: TRK00021, unit_number: 6060, make: Mack, model_year: 2018, vin: 1MV661551799038494, acquisition_date: 2018-07-11, acquisition_mileage: 7774, fuel_type: Diesel, tank_capacity_gallons: 150, status: Inactive, home_terminal: Detroit
truck_id: TRK00022, unit_number: 3953, make: Kenworth, model_year: 2017, vin: 1VU201382802563540, acquisition_date: 2018-03-13, acquisition_mileage: 11696, fuel_type: Diesel, tank_capacity_gallons: 200, status: Inactive, home_terminal: Houston
truck_id: TRK00023, unit_number: 4509, make: Peterbilt, model_year: 2015, vin: 1MV342228599481462, acquisition_date: 2019-07-09, acquisition_mileage: 35209, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Milwaukee
truck_id: TRK00024, unit_number: 6598, make: Volvo, model_year: 2015, vin: 1VT416775529985868, acquisition_date: 2018-04-08, acquisition_mileage: 25759, fuel_type: Diesel, tank_capacity_gallons: 150, status: Active, home_terminal: Dallas
truck_id: TRK00025, unit_number: 8967, make: Freightliner, model_year: 2018, vin: 1MV857192659408369, acquisition_date: 2020-02-13, acquisition_mileage: 34658, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Dallas
truck_id: TRK00026, unit_number: 4145, make: International, model_year: 2021, vin: 1MU109206419984555, acquisition_date: 2021-02-23, acquisition_mileage: 8345, fuel_type: Diesel, tank_capacity_gallons: 250, status: Active, home_terminal: Miami
truck_id: TRK00027, unit_number: 4711, make: Peterbilt, model_year: 2015, vin: 1FU919098643889893, acquisition_date: 2016-04-12, acquisition_mileage: 47700, fuel_type: Diesel, tank_capacity_gallons: 150, status: Maintenance, home_terminal: New York
truck_id: TRK00028, unit_number: 3253, make: Kenworth, model_year: 2015, vin: 1VU150939883819521, acquisition_date: 2020-09-21, acquisition_mileage: 14594, fuel_type: Diesel, tank_capacity_gallons: 150, status: Maintenance, home_terminal: Portland
truck_id: TRK00029, unit_number: 3538, make: International, model_year: 2016, vin: 1MT732548052826703, acquisition_date: 2016-01-20, acquisition_mileage: 227, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Milwaukee
truck_id: TRK00030, unit_number: 2264, make: Volvo, model_year: 2015, vin: 1NU424938126853269, acquisition_date: 2016-04-14, acquisition_mileage: 49556, fuel_type: Diesel, tank_capacity_gallons: 200, status: Active, home_terminal: Salt Lake City
